OBJECTID,Badge,Feeder,Latitude,Longitude,Outage_Number
1,ME-1Q2001255,Bath Village,13.07719711,-59.55483408,1
2,ME-1Q2001720,Bath Village,13.07736551,-59.55456531,1
3,ME-1Q2001779,Bath Village,13.07673685,-59.55312711,1
4,ME-1Q2001780,Bath Village,13.07687237,-59.55305633,1
5,ME-1Q2001406,Bath Village,13.07573248,-59.55431489,1
6,ME-1Q2001874,Bath Village,13.07669639,-59.55325447,1
7,ME-1Q2001719,Bath Village,13.07692287,-59.55381309,1
8,ME-1Q2005006,Bath Village,13.07891814,-59.56063605,1
9,ME-1Q2005008,Bath Village,13.07920765,-59.56085792,1
10,ME-1Q2005009,Bath Village,13.07909809,-59.56104999,1
11,ME-1Q2005470,Bath Village,13.07932754,-59.56121282,1
12,ME-1Q2005471,Bath Village,13.07995935,-59.56121739,1
13,ME-1Q2005472,Bath Village,13.07812884,-59.56182383,1
14,ME-1P1000437,Bath Village,13.07373581,-59.55652458,1
15,ME-1Q2005663,Bath Village,13.08053224,-59.56129743,1
16,ME-1Q2005664,Bath Village,13.08050063,-59.56111081,1
17,ME-1Q2005665,Bath Village,13.08029147,-59.56137146,1
18,ME-1Q2004806,Bath Village,13.07566833,-59.55772841,1
19,ME-1Q2004807,Bath Village,13.07548956,-59.55746558,1
20,ME-1Q2004809,Bath Village,13.07562949,-59.55737233,1
21,ME-1Q2004894,Bath Village,13.07575539,-59.55765262,1
22,ME-1Q2004896,Bath Village,13.07546423,-59.55696129,1
23,ME-1Q2004910,Bath Village,13.07535628,-59.55787029,1
24,ME-1Q2004911,Bath Village,13.07513974,-59.55804377,1
25,ME-1Q2004912,Bath Village,13.07549123,-59.55797743,1
26,ME-1Q2004913,Bath Village,13.07557404,-59.55791571,1
27,ME-1Q2004942,Bath Village,13.07490035,-59.55768296,1
28,ME-1Q2004944,Bath Village,13.07498228,-59.55776847,1
29,ME-1Q2004945,Bath Village,13.07502916,-59.55794992,1
30,ME-1Q2006238,Bath Village,13.07037511,-59.56680709,1
31,ME-1Q2006227,Bath Village,13.07226337,-59.56792166,1
32,ME-1Q2006071,Bath Village,13.07287016,-59.56260412,1
33,ME-1Q2006093,Bath Village,13.07296384,-59.56086052,1
34,ME-1Q2006236,Bath Village,13.07296077,-59.56771955,1
35,ME-1W2000110,Bath Village,13.06822105,-59.57492878,1
36,ME-1Q2006276,Bath Village,13.06866471,-59.56849853,1
37,ME-1Q2006120,Bath Village,13.06928082,-59.56706263,1
38,ME-1Q2006121,Bath Village,13.06928148,-59.56710711,1
39,ME-1Q2006182,Bath Village,13.07234745,-59.56422545,1
40,ME-1Q2006150,Bath Village,13.0728924,-59.56243166,1
41,ME-1Q2006805,Bath Village,13.06931031,-59.57409889,1
42,ME-1Q2006184,Bath Village,13.07237363,-59.56405246,1
43,ME-1P1001839,Bath Village,13.07218902,-59.56487269,1
44,ME-1Q2006413,Bath Village,13.07293187,-59.56200955,1
45,ME-1P1000852,Bath Village,13.07294515,-59.56157504,1
46,ME-1Q2006455,Bath Village,13.07294173,-59.56186062,1
47,ME-1Q2006223,Bath Village,13.07295623,-59.56125635,1
48,ME-1Q2006277,Bath Village,13.06941533,-59.56877435,1
49,ME-1P1000515,Bath Village,13.06947311,-59.56990119,1
50,ME-1Q2006119,Bath Village,13.06947439,-59.56703002,1
51,ME-1Q2005860,Bath Village,13.07246109,-59.56627944,1
52,ME-1Q2005861,Bath Village,13.07243276,-59.56624404,1
53,ME-1Q2006171,Bath Village,13.07244179,-59.56367491,1
54,ME-1Q2006222,Bath Village,13.07295361,-59.56131625,1
55,ME-1Q2006092,Bath Village,13.07297471,-59.56091857,1
56,ME-1Q2006387,Bath Village,13.06942971,-59.56841842,1
57,ME-1P1001857,Bath Village,13.07105955,-59.56714183,1
58,ME-1Q2006126,Bath Village,13.07075503,-59.56663764,1
59,ME-1Q2006225,Bath Village,13.07272243,-59.56136941,1
60,ME-1Q2006183,Bath Village,13.07243276,-59.56340452,1
61,ME-1Q2006185,Bath Village,13.07243175,-59.56345084,1
62,ME-1Q2006456,Bath Village,13.07268032,-59.56177169,1
63,ME-1Q2006226,Bath Village,13.07257489,-59.56837396,1
64,ME-1Q2006279,Bath Village,13.0694761,-59.56840737,1
65,ME-1Q2006278,Bath Village,13.06945411,-59.56859765,1
66,ME-1Q2006118,Bath Village,13.06957187,-59.56721139,1
67,ME-1Q2006389,Bath Village,13.06957596,-59.56839632,1
68,ME-1Q2006151,Bath Village,13.0724403,-59.5632456,1
69,ME-1Q2005154,Bath Village,13.07244746,-59.56631807,1
70,ME-1Q2006214,Bath Village,13.07259351,-59.56810837,1
71,ME-1U2000032,Bath Village,13.068163,-59.57182399,1
72,ME-1Q2006281,Bath Village,13.06946818,-59.56873399,1
73,ME-1Q2003953,Bath Village,13.07176027,-59.57236289,1
74,ME-1Q2006153,Bath Village,13.07254016,-59.56310476,1
75,ME-1Q2006113,Bath Village,13.07268479,-59.56117468,1
76,ME-1Q2009000,Bath Village,13.07078266,-59.56717202,1
77,ME-1P1001838,Bath Village,13.07270944,-59.56336373,1
78,ME-1Q2006294,Bath Village,13.06887574,-59.5680079,1
79,ME-1P1000636,Bath Village,13.06975303,-59.5686016,1
80,ME-1Q2006411,Bath Village,13.0726827,-59.56199218,1
81,ME-1Q2006293,Bath Village,13.06898735,-59.56850282,1
82,ME-1P1001699,Bath Village,13.06980856,-59.56833127,1
83,ME-1Q2006127,Bath Village,13.06992468,-59.56713762,1
84,ME-1Q2006241,Bath Village,13.07101412,-59.56653571,1
85,ME-1Q2006280,Bath Village,13.06896227,-59.56777402,1
86,ME-1Q2006239,Bath Village,13.07010605,-59.56725587,1
87,ME-1Q2006072,Bath Village,13.07119382,-59.56725942,1
88,ME-1Q2006073,Bath Village,13.07121618,-59.56733068,1
89,ME-1Q2006165,Bath Village,13.07248419,-59.5650067,1
90,ME-1Q2006070,Bath Village,13.07264602,-59.56246885,1
91,ME-1Q2006217,Bath Village,13.07275291,-59.56861214,1
92,ME-1Q2006410,Bath Village,13.07266068,-59.56208866,1
93,ME-1Q2006140,Bath Village,13.07286851,-59.56724552,1
94,ME-1Q2006292,Bath Village,13.0684171,-59.56804612,1
95,ME-1P1000590,Bath Village,13.06894249,-59.56832245,1
96,ME-1Q2006291,Bath Village,13.06904102,-59.56876199,1
97,ME-1Q2006129,Bath Village,13.06992191,-59.56660334,1
98,ME-1Q2006128,Bath Village,13.06992118,-59.56682247,1
99,ME-1Q2006240,Bath Village,13.07012693,-59.56729002,1
100,ME-1Q2006162,Bath Village,13.07251191,-59.56497704,1
101,ME-1Q2006163,Bath Village,13.07248834,-59.56493163,1
102,ME-1Q2006228,Bath Village,13.07273704,-59.56819967,1
103,ME-1Q2006274,Bath Village,13.06848894,-59.56862849,1
104,ME-1Q2006615,Bath Village,13.0690805,-59.56889099,1
105,ME-1Q2006617,Bath Village,13.06909018,-59.56892261,1
106,ME-1Q2006229,Bath Village,13.0721188,-59.56822867,1
107,ME-1Q2006112,Bath Village,13.07265261,-59.56116593,1
108,ME-1Q2006454,Bath Village,13.07269892,-59.56164312,1
109,ME-1Q2006170,Bath Village,13.07270789,-59.56413275,1
110,ME-1Q2006110,Bath Village,13.07272883,-59.5608538,1
111,ME-1Q2006290,Bath Village,13.06913062,-59.5684562,1
112,ME-1P1000637,Bath Village,13.06915225,-59.56856244,1
113,ME-1Q2006386,Bath Village,13.07007227,-59.5682284,1
114,ME-1Q2006111,Bath Village,13.07273034,-59.56076832,1
115,ME-1Q2006457,Bath Village,13.07268568,-59.56168988,1
116,ME-1Q2006235,Bath Village,13.07271527,-59.56706523,1
117,ME-1Q2006139,Bath Village,13.07292411,-59.56718447,1
118,ME-1Q2006275,Bath Village,13.06847639,-59.56852491,1
119,ME-1P1000842,Bath Village,13.06869575,-59.56795874,1
120,ME-1P1000843,Bath Village,13.06882854,-59.5681369,1
121,ME-1P1000844,Bath Village,13.06912472,-59.56839963,1
122,ME-1P1000845,Bath Village,13.06910832,-59.56836655,1
123,ME-1P1000867,Bath Village,13.07263232,-59.56238947,1
124,ME-1P1000868,Bath Village,13.06862184,-59.56866022,1
125,ME-1P1000869,Bath Village,13.07265387,-59.56262624,1
126,ME-1P1000935,Bath Village,13.07267887,-59.56227535,1
127,ME-1P1001698,Bath Village,13.06918681,-59.56864777,1
128,ME-1P1001700,Bath Village,13.06912089,-59.56914672,1
129,ME-1P1001701,Bath Village,13.06918618,-59.56890956,1
130,ME-1Q2006116,Bath Village,13.07219779,-59.56612341,1
131,ME-1P1001820,Bath Village,13.0727723,-59.56673607,1
132,ME-1Q2006138,Bath Village,13.0729032,-59.56723877,1
133,ME-1Q2006141,Bath Village,13.07293206,-59.56721487,1
134,ME-1Q2006296,Bath Village,13.06861037,-59.56822525,1
135,ME-1Q2007816,Bath Village,13.06860705,-59.56826762,1
136,ME-1Q2006297,Bath Village,13.06923437,-59.56875517,1
137,ME-1P1000850,Bath Village,13.07294714,-59.5607722,1
138,ME-1Q2006152,Bath Village,13.07287548,-59.56292895,1
139,ME-1Q2005927,Bath Village,13.07836449,-59.56350894,1
140,ME-1Q2005673,Bath Village,13.08009035,-59.56073033,1
141,ME-1Q2004467,Bath Village,13.08081407,-59.56123439,1
142,ME-1Q2004402,Bath Village,13.08072501,-59.56058554,1
143,ME-1Q2004469,Bath Village,13.08092882,-59.56122153,1
144,ME-1P1000853,Bath Village,13.07326205,-59.5597774,1
145,ME-1P1000632,Bath Village,13.07337743,-59.55976328,1
146,ME-1Q2004050,Bath Village,13.07459427,-59.56189768,1
147,ME-1P1001557,Bath Village,13.07466157,-59.56143961,1
148,ME-1Q2005435,Bath Village,13.0746187,-59.55809377,1
149,ME-1P1001593,Bath Village,13.07462517,-59.55980911,1
150,ME-1Q2004642,Bath Village,13.07570843,-59.55863848,1
151,ME-1Q2007311,Bath Village,13.07545337,-59.5591635,1
152,ME-1P1000556,Bath Village,13.07543063,-59.55900351,1
153,ME-1Q2004052,Bath Village,13.07531233,-59.56106358,1
154,ME-1P1000601,Bath Village,13.07554252,-59.55832435,1
155,ME-1Q2004895,Bath Village,13.07551354,-59.5570956,1
156,ME-1P1000695,Bath Village,13.07629099,-59.56173831,1
157,ME-1P1000894,Bath Village,13.07637165,-59.56205617,1
158,ME-1Q2004785,Bath Village,13.07637257,-59.55634324,1
159,ME-1Q2005367,Bath Village,13.07641761,-59.55550836,1
160,ME-1Q2004711,Bath Village,13.07659076,-59.55852217,1
161,ME-1Q2006009,Bath Village,13.07712106,-59.56489238,1
162,ME-1Q2005889,Bath Village,13.07693089,-59.5641897,1
163,ME-1Q2005996,Bath Village,13.07706794,-59.56519248,1
164,ME-1Q2005042,Bath Village,13.07704522,-59.55709435,1
165,ME-1Q2005995,Bath Village,13.07704003,-59.56544867,1
166,ME-1Q2004797,Bath Village,13.07702586,-59.5543112,1
167,ME-1Q2004932,Bath Village,13.07712034,-59.55458185,1
168,ME-1Q2004843,Bath Village,13.07706962,-59.55632629,1
169,ME-1Q2004813,Bath Village,13.07714582,-59.55508416,1
170,ME-1Q2004730,Bath Village,13.07760208,-59.55646154,1
171,ME-1Q2004727,Bath Village,13.07763468,-59.55721327,1
172,ME-1Q2005737,Bath Village,13.07841359,-59.56447628,1
173,ME-1Q2005803,Bath Village,13.07845311,-59.56449665,1
174,ME-1Q2005670,Bath Village,13.08012999,-59.56089767,1
175,ME-1Q2006237,Bath Village,13.07343361,-59.5681859,1
176,ME-1P1000573,Bath Village,13.07387771,-59.55850447,1
177,ME-1Q2005384,Bath Village,13.07404604,-59.55825535,1
178,ME-1P1001439,Bath Village,13.07376533,-59.5548992,1
179,ME-1Q2004788,Bath Village,13.07386989,-59.55561661,1
180,ME-1Q2004692,Bath Village,13.07387372,-59.55574151,1
181,ME-1Q2005377,Bath Village,13.07387077,-59.55782084,1
182,ME-1Q2005441,Bath Village,13.07457524,-59.55795782,1
183,ME-1P1000575,Bath Village,13.07462991,-59.56267023,1
184,ME-1Q2004953,Bath Village,13.07458569,-59.56061045,1
185,ME-1Q2005378,Bath Village,13.07466008,-59.55774085,1
186,ME-1P1000577,Bath Village,13.07470649,-59.56228377,1
187,ME-1Q2004710,Bath Village,13.07544675,-59.55840495,1
188,ME-1P1000576,Bath Village,13.0755111,-59.56166244,1
189,ME-1Q2004981,Bath Village,13.07547796,-59.56154803,1
190,ME-1Q2004066,Bath Village,13.07545715,-59.56124816,1
191,ME-1Q2004914,Bath Village,13.07590145,-59.56028585,1
192,ME-1Q2004069,Bath Village,13.07545806,-59.5611324,1
193,ME-1Q2004643,Bath Village,13.07549488,-59.55859383,1
194,ME-1P1001663,Bath Village,13.07558954,-59.55723634,1
195,ME-1P1001639,Bath Village,13.07567534,-59.55891051,1
196,ME-1P1001818,Bath Village,13.07643457,-59.55835177,1
197,ME-1Q2004854,Bath Village,13.07640264,-59.55943737,1
198,ME-1Q2004783,Bath Village,13.0765286,-59.556601,1
199,ME-1Q2004772,Bath Village,13.07646419,-59.55601163,1
200,ME-1Q2004792,Bath Village,13.07639189,-59.55432569,1
201,ME-1Q2004591,Bath Village,13.07641237,-59.55515527,1
202,ME-1Q2004775,Bath Village,13.0765114,-59.55614449,1
203,ME-1Q2004876,Bath Village,13.07645998,-59.5615788,1
204,ME-1P1001611,Bath Village,13.07651371,-59.55897945,1
205,ME-1Q2005028,Bath Village,13.07727529,-59.55797892,1
206,ME-1Q2005026,Bath Village,13.07730659,-59.55796564,1
207,ME-1Q2005997,Bath Village,13.07718032,-59.56543765,1
208,ME-1Q2004832,Bath Village,13.07705546,-59.55562777,1
209,ME-1Q2004718,Bath Village,13.07709968,-59.55532781,1
210,ME-1P1000435,Bath Village,13.077219,-59.55424927,1
211,ME-1Q2005977,Bath Village,13.07771426,-59.56449908,1
212,ME-1P1000892,Bath Village,13.07762335,-59.56430947,1
213,ME-1Q2005805,Bath Village,13.07845959,-59.56465464,1
214,ME-1Q2005439,Bath Village,13.07848849,-59.55553969,1
215,ME-1Q2006462,Bath Village,13.07345813,-59.56152351,1
216,ME-1P1000424,Bath Village,13.07381863,-59.55893868,1
217,ME-1Q2005347,Bath Village,13.07400809,-59.55897936,1
218,ME-1P1001440,Bath Village,13.07389628,-59.55493768,1
219,ME-1Q2004693,Bath Village,13.07388915,-59.55582798,1
220,ME-1Q2004707,Bath Village,13.07386858,-59.55570264,1
221,ME-1P1000423,Bath Village,13.07392682,-59.55932188,1
222,ME-1Q2008300,Bath Village,13.07467452,-59.56230612,1
223,ME-1P1000436,Bath Village,13.07470231,-59.55872617,1
224,ME-1Q2008519,Bath Village,13.07472066,-59.56098549,1
225,ME-1Q2004612,Bath Village,13.07479393,-59.55686753,1
226,ME-1Q2005140,Bath Village,13.0746967,-59.55711773,1
227,ME-1Q2005395,Bath Village,13.07466721,-59.55972286,1
228,ME-1Q2005436,Bath Village,13.07475712,-59.55787389,1
229,ME-1Q2005364,Bath Village,13.07476675,-59.55896653,1
230,ME-1P1001647,Bath Village,13.07558872,-59.55889517,1
231,ME-1Q2004793,Bath Village,13.07637108,-59.55428125,1
232,ME-1Q2004880,Bath Village,13.07657562,-59.56066656,1
233,ME-1Q2005052,Bath Village,13.07636883,-59.55939844,1
234,ME-1Q2004881,Bath Village,13.07648557,-59.5604137,1
235,ME-1Q2010084,Bath Village,13.07647237,-59.55576343,1
236,ME-1Q2004874,Bath Village,13.07662529,-59.56152178,1
237,ME-1Q2006000,Bath Village,13.07714774,-59.56517507,1
238,ME-1Q2005022,Bath Village,13.07715383,-59.55659624,1
239,ME-1Q2006013,Bath Village,13.07721614,-59.56464643,1
240,ME-1Q2008373,Bath Village,13.07727131,-59.56482409,1
241,ME-1Q2004973,Bath Village,13.07714029,-59.56047049,1
242,ME-1Q2004971,Bath Village,13.07714052,-59.56051349,1
243,ME-1Q2005053,Bath Village,13.07720872,-59.55986771,1
244,ME-1Q2004731,Bath Village,13.07770568,-59.55643106,1
245,ME-1Q2005049,Bath Village,13.07774683,-59.55645497,1
246,ME-1Q2005975,Bath Village,13.07760795,-59.56426429,1
247,ME-1Q2005030,Bath Village,13.07779482,-59.55769406,1
248,ME-1Q2006007,Bath Village,13.07773394,-59.56484583,1
249,ME-1Q2005438,Bath Village,13.07849936,-59.55566641,1
250,ME-1P1000514,Bath Village,13.07855052,-59.56141172,1
251,ME-1Q2005992,Bath Village,13.07857837,-59.56495463,1
252,ME-1Q2005719,Bath Village,13.07938209,-59.56074836,1
253,ME-1Q2005718,Bath Village,13.07939425,-59.56078261,1
254,ME-1Q2005817,Bath Village,13.07941817,-59.56020511,1
255,ME-1Q2005430,Bath Village,13.07337144,-59.55655088,1
256,ME-1Q2004867,Bath Village,13.07397012,-59.55614525,1
257,ME-1Q2005359,Bath Village,13.07395002,-59.5600493,1
258,ME-1Q2005433,Bath Village,13.07393794,-59.55652485,1
259,ME-1Q2005365,Bath Village,13.07486283,-59.55900821,1
260,ME-1Q2005363,Bath Village,13.0746954,-59.55925651,1
261,ME-1P1001640,Bath Village,13.07463451,-59.55823632,1
262,ME-1Q2005440,Bath Village,13.07468378,-59.55834473,1
263,ME-1Q2004899,Bath Village,13.07463517,-59.55883047,1
264,ME-1P1001554,Bath Village,13.07480709,-59.56206485,1
265,ME-1P1000600,Bath Village,13.07562858,-59.55865067,1
266,ME-1P1001662,Bath Village,13.07551769,-59.55764401,1
267,ME-1Q2004979,Bath Village,13.07557743,-59.56147286,1
268,ME-1Q2003817,Bath Village,13.07560649,-59.56170286,1
269,ME-1Q2004915,Bath Village,13.07585024,-59.56035935,1
270,ME-1P1001664,Bath Village,13.07568493,-59.55754903,1
271,ME-1Q2004712,Bath Village,13.07566303,-59.55833271,1
272,ME-1P1000896,Bath Village,13.0766205,-59.55915646,1
273,ME-1Q2004870,Bath Village,13.07654611,-59.56202439,1
274,ME-1P1000691,Bath Village,13.07642558,-59.56079926,1
275,ME-1P1000690,Bath Village,13.07647309,-59.56103233,1
276,ME-1Q2004838,Bath Village,13.07651071,-59.55463088,1
277,ME-1P1001599,Bath Village,13.07652831,-59.56114111,1
278,ME-1Q2004773,Bath Village,13.07663574,-59.55554456,1
279,ME-1Q2004749,Bath Village,13.0765592,-59.55828662,1
280,ME-1P1001598,Bath Village,13.07683489,-59.56158869,1
281,ME-1Q2005530,Bath Village,13.0773122,-59.56318643,1
282,ME-1Q2005929,Bath Village,13.07733266,-59.55794049,1
283,ME-1Q2004833,Bath Village,13.07718729,-59.55559918,1
284,ME-1Q2005886,Bath Village,13.07722086,-59.56426139,1
285,ME-1Q2004817,Bath Village,13.07728464,-59.55603431,1
286,ME-1Q2004736,Bath Village,13.07782695,-59.55742897,1
287,ME-1Q2005048,Bath Village,13.07778481,-59.5566271,1
288,ME-1Q2005023,Bath Village,13.07781736,-59.55663858,1
289,ME-1Q2005149,Bath Village,13.07863422,-59.55809684,1
290,ME-1Q2004466,Bath Village,13.08102757,-59.56093358,1
291,ME-1Q2004165,Bath Village,13.07391811,-59.56001754,1
292,ME-1P1001590,Bath Village,13.07379264,-59.55906058,1
293,ME-1Q2004691,Bath Village,13.07393217,-59.55592309,1
294,ME-1Q2005374,Bath Village,13.07399034,-59.55774442,1
295,ME-1Q2005348,Bath Village,13.07406013,-59.55927977,1
296,ME-1P1001651,Bath Village,13.07388396,-59.55674184,1
297,ME-1Q2004613,Bath Village,13.07478282,-59.55744442,1
298,ME-1P1001556,Bath Village,13.07482127,-59.56172145,1
299,ME-1Q2005386,Bath Village,13.0747089,-59.56032241,1
300,ME-1P1001641,Bath Village,13.07483609,-59.55871473,1
301,ME-1Q2004611,Bath Village,13.07483739,-59.55742021,1
302,ME-1Q2005075,Bath Village,13.07574947,-59.5616497,1
303,ME-1Q2004595,Bath Village,13.07544688,-59.55866269,1
304,ME-1Q2004888,Bath Village,13.075688,-59.55926784,1
305,ME-1Q2004857,Bath Village,13.07574604,-59.55956459,1
306,ME-1Q2004594,Bath Village,13.07582757,-59.55880969,1
307,ME-1Q2004886,Bath Village,13.07547244,-59.55865012,1
308,ME-1Q2004845,Bath Village,13.07657504,-59.55408602,1
309,ME-1P1000638,Bath Village,13.07644648,-59.56091965,1
310,ME-1Q2004878,Bath Village,13.07654086,-59.5613616,1
311,ME-1Q2004872,Bath Village,13.07653846,-59.56230234,1
312,ME-1Q2005002,Bath Village,13.07654916,-59.55972343,1
313,ME-1Q2004873,Bath Village,13.07658027,-59.5623091,1
314,ME-1Q2005019,Bath Village,13.07720132,-59.55682866,1
315,ME-1Q2005999,Bath Village,13.07726116,-59.56513573,1
316,ME-1Q2004015,Bath Village,13.07728929,-59.56512734,1
317,ME-1Q2004992,Bath Village,13.07740075,-59.56066957,1
318,ME-1Q2005984,Bath Village,13.07728772,-59.56539048,1
319,ME-1Q2005047,Bath Village,13.07782557,-59.55667431,1
320,ME-1Q2005146,Bath Village,13.07868764,-59.55808889,1
321,ME-1Q2005816,Bath Village,13.07953732,-59.5601769,1
322,ME-1Q2004405,Bath Village,13.0811652,-59.56064952,1
323,ME-1Q2004452,Bath Village,13.08111976,-59.56089933,1
324,ME-1Q2004404,Bath Village,13.08109949,-59.56050609,1
325,ME-1P1000903,Bath Village,13.07396638,-59.55601377,1
326,ME-1P1000422,Bath Village,13.07404613,-59.55908784,1
327,ME-1P1000646,Bath Village,13.07402807,-59.55649863,1
328,ME-1P1001653,Bath Village,13.07403485,-59.55653454,1
329,ME-1Q2004690,Bath Village,13.07408567,-59.55570931,1
330,ME-1Q2005349,Bath Village,13.07412967,-59.55927067,1
331,ME-1P1001670,Bath Village,13.07409777,-59.55695748,1
332,ME-1Q2004067,Bath Village,13.07412547,-59.56068491,1
333,ME-1Q2005382,Bath Village,13.0747932,-59.55799326,1
334,ME-1Q2005357,Bath Village,13.07483801,-59.55919755,1
335,ME-1P1000574,Bath Village,13.07481586,-59.55930981,1
336,ME-1Q2005091,Bath Village,13.07483984,-59.56263467,1
337,ME-1Q2005353,Bath Village,13.07482355,-59.56010816,1
338,ME-1P1001591,Bath Village,13.07478209,-59.5595685,1
339,ME-1Q2005352,Bath Village,13.07486816,-59.56012608,1
340,ME-1Q2004905,Bath Village,13.0747669,-59.56064905,1
341,ME-1Q2004645,Bath Village,13.07570945,-59.55940295,1
342,ME-1Q2004597,Bath Village,13.0754178,-59.55868177,1
343,ME-1Q2004644,Bath Village,13.07572098,-59.5594836,1
344,ME-1Q2004887,Bath Village,13.0754243,-59.55871561,1
345,ME-1Q2004610,Bath Village,13.0756963,-59.55933464,1
346,ME-1P1001649,Bath Village,13.07576232,-59.55833339,1
347,ME-1Q2004889,Bath Village,13.07580611,-59.55877888,1
348,ME-1Q2004596,Bath Village,13.07582822,-59.55884434,1
349,ME-1Q2004840,Bath Village,13.07670918,-59.55455233,1
350,ME-1P1000692,Bath Village,13.07666179,-59.56089278,1
351,ME-1Q2004879,Bath Village,13.07655118,-59.56141571,1
352,ME-1P1001577,Bath Village,13.07670262,-59.56222884,1
353,ME-1Q2004875,Bath Village,13.07664674,-59.56202612,1
354,ME-1Q2004713,Bath Village,13.07669771,-59.55907107,1
355,ME-1Q2004774,Bath Village,13.07664478,-59.55617897,1
356,ME-1Q2004830,Bath Village,13.07724444,-59.55584091,1
357,ME-1Q2004860,Bath Village,13.07738982,-59.56017141,1
358,ME-1Q2004816,Bath Village,13.07730881,-59.55601418,1
359,ME-1Q2004811,Bath Village,13.07745689,-59.55482511,1
360,ME-1Q2004722,Bath Village,13.07734097,-59.55601306,1
361,ME-1Q2004831,Bath Village,13.07727726,-59.55583231,1
362,ME-1Q2006012,Bath Village,13.077311,-59.5646155,1
363,ME-1Q2004737,Bath Village,13.07790888,-59.55764211,1
364,ME-1P1000891,Bath Village,13.07777632,-59.56495316,1
365,ME-1Q2005136,Bath Village,13.0787375,-59.56043154,1
366,ME-1Q2005766,Bath Village,13.07958012,-59.56114908,1
367,ME-1Q2005721,Bath Village,13.07963509,-59.5606686,1
368,ME-1Q2005713,Bath Village,13.08034918,-59.56089296,1
369,ME-1Q2004468,Bath Village,13.08119548,-59.56049209,1
370,ME-1P1001844,Bath Village,13.07308916,-59.56182362,1
371,ME-1Q2004868,Bath Village,13.0740632,-59.556239,1
372,ME-1P1000570,Bath Village,13.07418167,-59.55876248,1
373,ME-1Q2004866,Bath Village,13.07418806,-59.55605146,1
374,ME-1Q2005090,Bath Village,13.07417206,-59.56266041,1
375,ME-1Q2004902,Bath Village,13.07480043,-59.56071303,1
376,ME-1Q2005356,Bath Village,13.07482888,-59.55936132,1
377,ME-1Q2004903,Bath Village,13.07473355,-59.56066436,1
378,ME-1Q2005355,Bath Village,13.07483556,-59.55944123,1
379,ME-1Q2004904,Bath Village,13.07476593,-59.56072504,1
380,ME-1Q2005354,Bath Village,13.07476412,-59.55959913,1
381,ME-1Q2004898,Bath Village,13.074762,-59.55860602,1
382,ME-1P1001551,Bath Village,13.0750067,-59.56261248,1
383,ME-1P1001638,Bath Village,13.07483043,-59.55815678,1
384,ME-1Q2004978,Bath Village,13.07589577,-59.56131879,1
385,ME-1Q2005077,Bath Village,13.0758723,-59.56179088,1
386,ME-1Q2004950,Bath Village,13.07590102,-59.56046663,1
387,ME-1Q2004851,Bath Village,13.07592023,-59.55433536,1
388,ME-1Q2007362,Bath Village,13.07574877,-59.56112644,1
389,ME-1Q2006299,Bath Village,13.07581248,-59.5582894,1
390,ME-1Q2004943,Bath Village,13.07588664,-59.55717525,1
391,ME-1Q2005121,Bath Village,13.07590122,-59.56210572,1
392,ME-1P1000639,Bath Village,13.07668815,-59.5611174,1
393,ME-1P1001600,Bath Village,13.07665535,-59.56167359,1
394,ME-1Q2004839,Bath Village,13.07669049,-59.55451308,1
395,ME-1P1000893,Bath Village,13.07670915,-59.55937822,1
396,ME-1P1001821,Bath Village,13.07667054,-59.5582391,1
397,ME-1Q2004769,Bath Village,13.07678575,-59.55886153,1
398,ME-1Q2004770,Bath Village,13.07676102,-59.55586525,1
399,ME-1Q2004784,Bath Village,13.07663666,-59.55491664,1
400,ME-1P1001596,Bath Village,13.07666943,-59.56002535,1
401,ME-1Q2004723,Bath Village,13.07719194,-59.55609679,1
402,ME-1Q2004972,Bath Village,13.07744621,-59.56049544,1
403,ME-1Q2005983,Bath Village,13.07736342,-59.56534779,1
404,ME-1Q2004827,Bath Village,13.07730763,-59.55554045,1
405,ME-1Q2005020,Bath Village,13.07785268,-59.55689196,1
406,ME-1Q2005993,Bath Village,13.07799027,-59.56513264,1
407,ME-1Q2005018,Bath Village,13.07787884,-59.55687327,1
408,ME-1Q2005720,Bath Village,13.07963722,-59.56069978,1
409,ME-1Q2005710,Bath Village,13.0804178,-59.5606615,1
410,ME-1Q2005372,Bath Village,13.07349827,-59.55712208,1
411,ME-1Q2005431,Bath Village,13.0735513,-59.55658347,1
412,ME-1P1000416,Bath Village,13.07420403,-59.55924764,1
413,ME-1Q2004869,Bath Village,13.07415881,-59.55594596,1
414,ME-1Q2004147,Bath Village,13.07427753,-59.56017488,1
415,ME-1P1001687,Bath Village,13.07416161,-59.55652155,1
416,ME-1P1000901,Bath Village,13.07425785,-59.55627247,1
417,ME-1Q2004149,Bath Village,13.07425313,-59.56015533,1
418,ME-1P1000414,Bath Village,13.07423447,-59.55951617,1
419,ME-1Q2005360,Bath Village,13.07423888,-59.55961374,1
420,ME-1Q2004148,Bath Village,13.07427338,-59.56021709,1
421,ME-1Q2004708,Bath Village,13.07419646,-59.55568893,1
422,ME-1Q2004802,Bath Village,13.07415888,-59.55529513,1
423,ME-1P1000425,Bath Village,13.07420805,-59.55946174,1
424,ME-1P1001586,Bath Village,13.07484937,-59.56223821,1
425,ME-1Q2005389,Bath Village,13.07509107,-59.55961571,1
426,ME-1Q2004952,Bath Village,13.07490567,-59.56083848,1
